iter	Passed	Remaining
400	29319	7238
401	29396	7166
402	29469	7093
403	29543	7020
404	29617	6947
405	29698	6875
406	29794	6808
407	29881	6738
408	29960	6666
409	30054	6597
410	30130	6524
411	30208	6452
412	30284	6379
413	30357	6306
414	30438	6234
415	30526	6164
416	30629	6096
417	30734	6029
418	30833	5960
419	30940	5893
420	31027	5822
421	31111	5750
422	31197	5679
423	31280	5606
424	31359	5534
425	31447	5462
426	31524	5389
427	31599	5315
428	31681	5243
429	31766	5171
430	31843	5097
431	31928	5025
432	32012	4953
433	32097	4881
434	32176	4808
435	32259	4735
436	32355	4664
437	32438	4591
438	32523	4519
439	32608	4446
440	32693	4373
441	32781	4301
442	32859	4227
443	32938	4154
444	33037	4083
445	33116	4009
446	33201	3936
447	33282	3863
448	33350	3788
449	33419	3713
450	33513	3641
451	33609	3569
452	33688	3495
453	33768	3421
454	33846	3347
455	33920	3273
456	33992	3198
457	34062	3123
458	34135	3049
459	34204	2974
460	34280	2900
461	34371	2827
462	34444	2752
463	34516	2677
464	34603	2604
465	34700	2531
466	34786	2458
467	34868	2384
468	34958	2310
469	35045	2236
470	35128	2162
471	35207	2088
472	35298	2014
473	35398	1941
474	35487	1867
475	35572	1793
476	35664	1719
477	35747	1645
478	35833	1571
479	35918	1496
480	35999	1422
481	36089	1347
482	36190	1273
483	36289	1199
484	36381	1125
485	36466	1050
486	36545	975
487	36639	900
488	36778	827
489	36870	752
490	36949	677
491	37028	602
492	37125	527
493	37212	451
494	37301	376
495	37377	301
496	37468	226
497	37555	150
498	37640	75
499	37724	0
