iter	RMSE
0	0.7546734374
1	0.7270862032
2	0.6974277491
3	0.6717876662
4	0.6476370286
5	0.623264738
6	0.5995342238
7	0.5752762839
8	0.5530821776
9	0.5330451209
10	0.5127684504
11	0.4938466277
12	0.476526992
13	0.4577432504
14	0.4404526482
15	0.4232496991
16	0.4108303254
17	0.4010522451
18	0.3872664229
19	0.3733886049
20	0.3605918807
21	0.348020583
22	0.3347259428
23	0.3219109354
24	0.3114847357
25	0.3006290114
26	0.2901960968
27	0.2800413534
28	0.2706807567
29	0.2621967396
30	0.254185914
31	0.2455822314
32	0.2377444164
33	0.2302536794
34	0.2239655718
35	0.2181967639
36	0.2116043343
37	0.2058620317
38	0.201222512
39	0.1954602221
40	0.191386318
41	0.1861406128
42	0.1816217145
43	0.1784053288
44	0.1747102775
45	0.1707184332
46	0.166740996
47	0.1636691404
48	0.1603449804
49	0.1577594268
50	0.1554933878
51	0.1526181692
52	0.1501299823
53	0.1484231917
54	0.1456237218
55	0.1432656581
56	0.1406666892
57	0.1385943627
58	0.1366288812
59	0.1342819041
60	0.1326195094
61	0.130339921
62	0.1285325767
63	0.1268220069
64	0.1259271712
65	0.1242832398
66	0.1231677579
67	0.1217054923
68	0.1200439497
69	0.11852136
70	0.1169758673
71	0.1158273961
72	0.1145370027
73	0.1136357389
74	0.1124933745
75	0.1113729096
76	0.1103682639
77	0.1092782694
78	0.1083042689
79	0.1070956393
80	0.1060429001
81	0.1049715213
82	0.1043151275
83	0.1033856692
84	0.1027260893
85	0.1018086915
86	0.1012695567
87	0.100212439
88	0.09936753201
89	0.09878632037
90	0.0981478032
91	0.09740070336
92	0.09697191512
93	0.09632487683
94	0.09575743983
95	0.09534579615
96	0.09494004799
97	0.0943913532
98	0.0940365347
99	0.09371018348
100	0.09338514589
101	0.09268167899
102	0.09215627265
103	0.09199828887
104	0.09165920272
105	0.09119130565
106	0.09066245099
107	0.09036830156
108	0.0898745923
109	0.08965724687
110	0.08928576066
111	0.08920915897
112	0.08855644598
113	0.08826435295
114	0.08804020512
115	0.08791599024
116	0.08776230406
117	0.08714509105
118	0.08684297071
119	0.08641762802
120	0.08619778796
121	0.08592344512
122	0.08565206184
123	0.08547079903
124	0.08513793777
125	0.08479203632
126	0.08454424435
127	0.08437162907
128	0.08415310942
129	0.08402345782
130	0.0836853468
131	0.08357931987
132	0.08326202047
133	0.08313320073
134	0.08291420597
135	0.08274874349
136	0.0825907782
137	0.08212592062
138	0.08176988579
139	0.08157708264
140	0.08131714098
141	0.08106271863
142	0.08068203257
143	0.08030984103
144	0.08020610363
145	0.08007352223
146	0.0799866346
147	0.07975886545
148	0.07967491644
149	0.07955074379
150	0.07898119037
151	0.0789127406
152	0.0786182829
153	0.07842680386
154	0.07803904445
155	0.07782902241
156	0.07759860312
157	0.07731830627
158	0.07697842177
159	0.07689990121
160	0.07662250135
161	0.07641376367
162	0.07631950996
163	0.07616380572
164	0.07608936459
165	0.07591171447
166	0.07571861345
167	0.07561232979
168	0.07532615675
169	0.07521384717
170	0.07497974944
171	0.0746678946
172	0.07437316818
173	0.0743148242
174	0.07407286066
175	0.07380507827
176	0.07373651992
177	0.0736572216
178	0.0736104293
179	0.07344859979
180	0.07322494175
181	0.0731310865
182	0.0728680792
183	0.07264330072
184	0.07238157633
185	0.07212823855
186	0.07205882236
187	0.07184922294
188	0.07182887741
189	0.07162991045
190	0.07148120476
191	0.07136578811
192	0.07120989896
193	0.0710814239
194	0.07090507141
195	0.07085832102
196	0.07074714965
197	0.07061760456
198	0.0704443295
199	0.07036277294
200	0.07030195576
201	0.07006719848
202	0.06996309568
203	0.0698779636
204	0.06985715622
205	0.06974634534
206	0.06965719933
207	0.06959692098
208	0.06947023915
209	0.06934494511
210	0.06909584524
211	0.06907607547
212	0.06889875078
213	0.06871749699
214	0.06865345505
215	0.06849862767
216	0.0683781061
217	0.06818311751
218	0.0680664022
219	0.06781951599
220	0.06758322036
221	0.06731345725
222	0.06723064538
223	0.06705860705
224	0.0669874411
225	0.0668680131
226	0.06684292559
227	0.06669121582
228	0.06653838081
229	0.06631260757
230	0.06626762823
231	0.06606361844
232	0.06585852521
233	0.06581733798
234	0.06576059203
235	0.06571706776
236	0.06551277191
237	0.0653871079
238	0.06536954712
239	0.06527857768
240	0.06517345389
241	0.065092241
242	0.06502781141
243	0.06499204931
244	0.06491341039
245	0.06475324019
246	0.06464793706
247	0.06452385778
248	0.06449130994
249	0.06442697421
250	0.06430667167
251	0.06415166557
252	0.06409760977
253	0.06400326691
254	0.06391023051
255	0.06387673332
256	0.06382673605
257	0.06376814578
258	0.06369295598
259	0.06354799996
260	0.0633982106
261	0.06328648663
262	0.06314979694
263	0.06301600926
264	0.06290581705
265	0.06278122232
266	0.06264852643
267	0.06261839534
268	0.06250528388
269	0.0623951585
270	0.06229480833
271	0.06222226406
272	0.06218671136
273	0.06202944357
274	0.0619399124
275	0.06185954422
276	0.06182677446
277	0.06175167862
278	0.06169017513
279	0.06160093032
280	0.06146937879
281	0.06126217293
282	0.06114397369
283	0.06101011134
284	0.0609174816
285	0.06077313099
286	0.06071871805
287	0.06066781382
288	0.06059951288
289	0.06045195556
290	0.06038010437
291	0.06030775083
292	0.06024957439
293	0.06021846142
294	0.06017909861
295	0.06007320559
296	0.0599557631
297	0.05988562451
298	0.05977189641
299	0.0597598574
300	0.05974794317
301	0.0596839954
302	0.05960883038
303	0.05949358854
304	0.05945616317
305	0.05934821241
306	0.05927072732
307	0.05922102819
308	0.05913913457
309	0.05894221755
310	0.05886936219
311	0.05874226237
312	0.05864637102
313	0.05855973445
314	0.05852382922
315	0.05844510985
316	0.05839826753
317	0.05829318218
318	0.05821770287
319	0.05810850727
320	0.05805471843
321	0.05800357422
322	0.05798257858
323	0.05788027765
324	0.05782517484
325	0.05773694034
326	0.05765934675
327	0.05761815774
328	0.05753844999
329	0.0573989291
330	0.05738442172
331	0.05733755868
332	0.05729792857
333	0.05716621248
334	0.05701824253
335	0.05695463104
336	0.05687791826
337	0.05684213479
338	0.05668305032
339	0.05663922409
340	0.05655907478
341	0.05650019424
342	0.05644498642
343	0.05630041428
344	0.05625614165
345	0.0562035436
346	0.05613894449
347	0.05609969516
348	0.05607698323
349	0.05602782563
350	0.05590078543
351	0.05575825632
352	0.05565154661
353	0.05555835073
354	0.05546642612
355	0.05542241244
356	0.05534989791
357	0.05528374636
358	0.0552320855
359	0.05512864316
360	0.05507123869
361	0.05503190504
362	0.0549294603
363	0.05488803898
364	0.05487332972
365	0.05484496934
366	0.05478814414
367	0.05474245343
368	0.05470259092
369	0.05460497782
370	0.05459054873
371	0.05456233045
372	0.05452937816
373	0.05447763527
374	0.05445882937
375	0.05439375797
376	0.05435701054
377	0.05427825098
378	0.05421012761
379	0.05418283021
380	0.05412864427
381	0.05403992694
382	0.05399980628
383	0.05391733693
384	0.0538510349
385	0.0538217857
386	0.0537886583
387	0.05375944333
388	0.05373209467
389	0.05371714317
390	0.05359962312
391	0.05356185288
392	0.05350396676
393	0.05347840511
394	0.05343792217
395	0.05342497802
396	0.05335747028
397	0.05328521349
398	0.05321909554
399	0.05317534563
400	0.05315799599
401	0.05309473004
402	0.05299965305
403	0.05297717861
404	0.05292638767
405	0.05286869161
406	0.05283035944
407	0.05279789004
408	0.05277547244
409	0.0527257961
410	0.0526921689
411	0.05262106458
412	0.05257705588
413	0.05245489701
414	0.05240213877
415	0.05238563781
416	0.05233565522
417	0.05228493804
418	0.05226527092
419	0.05224996924
420	0.05220192657
421	0.0521418841
422	0.05212372709
423	0.05206498213
424	0.05205036593
425	0.05202882613
426	0.05199317113
427	0.05193335783
428	0.05191941799
429	0.05186636559
430	0.05182888765
431	0.05182004229
432	0.05180790544
433	0.05178065296
434	0.0517450146
435	0.05167670268
436	0.05165659524
437	0.0516363888
438	0.05161780895
439	0.05156166084
440	0.05150299583
441	0.05146799558
442	0.05141827427
443	0.05139921938
444	0.05133095061
445	0.05128351081
446	0.05127950511
447	0.05127128859
448	0.05121366763
449	0.05116813942
450	0.05112443648
451	0.05106028608
452	0.05101374705
453	0.05098238275
454	0.05094669541
455	0.05093241541
456	0.05087652261
457	0.05084939388
458	0.05075518599
459	0.05072312673
460	0.0507086585
461	0.05064088244
462	0.05054490183
463	0.05053679387
464	0.05049966324
465	0.05047249437
466	0.05038601407
467	0.05031074955
468	0.05022772451
469	0.05020983778
470	0.05017861933
471	0.05011653741
472	0.05002296175
473	0.04999775531
474	0.04993998154
475	0.04992952308
476	0.04987785569
477	0.04983468462
478	0.04979043278
479	0.04977300265
480	0.04974010987
481	0.04970043456
482	0.04967856794
483	0.04966894666
484	0.04964705011
485	0.04964395191
486	0.04959600079
487	0.04955949573
488	0.0495295826
489	0.0495199898
490	0.04949188349
491	0.0494482346
492	0.04940718924
493	0.04933943343
494	0.04927020283
495	0.04925299791
496	0.04917987518
497	0.04916061319
498	0.0491084136
499	0.04905597978
